0.000 0.0010660520
0.100 1.0439328114
0.200 1.9697124568
0.300 2.7141007919
0.400 3.2746841949
0.500 3.6822639521
0.600 3.9749206002
0.700 4.1855640701
0.800 4.3389238800
0.900 4.4524433358
1.000 4.5380960794
1.100 4.6040343308
1.200 4.6558223206
1.300 4.6972907712
1.400 4.7311092274
1.500 4.7591644393
1.600 4.7828100454
1.700 4.8030320822
1.800 4.8205596310
1.900 4.8359395975
2.000 4.8495878780
2.100 4.8618248319
2.200 4.8729002066
2.300 4.8830108871
2.400 4.8923137036
2.500 4.9009347901
2.600 4.9089765069
2.700 4.9165226189
2.800 4.9236422119
2.900 4.9303926852
3.000 4.9368220582
3.100 4.9429707666
3.200 4.9488730703
3.300 4.9545581682
3.400 4.9600510850
3.500 4.9653733829
3.600 4.9705437367
3.700 4.9755784001
3.800 4.9804915876
3.900 4.9852957879
4.000 4.9900020229
4.100 4.9946200632
4.200 4.9991586074
4.300 5.0036254333
4.400 5.0080275246
4.500 5.0123711785
4.600 5.0166620978
4.700 5.0209054685
4.800 5.0251060279
4.900 5.0292681217
5.000 5.0333957553
5.100 5.0374926370
5.200 5.0415622168
5.300 5.0456077201
5.400 5.0496321779
5.500 5.0536384536
5.600 5.0576292669
5.700 5.0616072156
5.800 5.0655747955
5.900 5.0695344186
6.000 5.0734884304
6.100 5.0774391250
6.200 5.0813887609
6.300 5.0853395753
6.400 5.0892937978
6.500 5.0932536644
6.600 5.0972214310
6.700 5.1011993873
6.800 5.1051898703
6.900 5.1091952792
7.000 5.1132180897
